Abstract,Keywords
"Psoriasis is a chronic recessive disease of unknown etiology, insufficiently explained and with a rather complex pathogenesis. In this paper the role of polymorphonuclear leukocytes, products lipids (arachidonic acid, leukotriene, 12-hydroxyeicosatetraenoic acid and the others) has been considered, as well as some immunological moments and the role of complements and platelet activating factor. It has not been explained up to now which one of these factors has the main role in the psoriatic lesion development. The primary defect in this genetically determined disease is unknown. All the elements listed in the sequence of events have secondary or tertiary significance.","tertiary significance, etiology, acid, determined disease, unknown etiology, others, arachidonic acid, lipids, chronic recessive disease, role, polymorphonuclear leukocytes, factors, psoriatic lesion development, products, main role"
"I have reported a case of esophageal pseudodiverticulosis, a benign disorder consisting of dysphagia and esophageal stricture. The diagnosis is made by the radiologic findings of multiple outpouchings into the esophageal wall. The disorder appears to be related to abnormal submucosal glands of the esophagus. No coexistent diseases have been found, and except for treatment of the associated esophageal stricture no specific therapy is required.","multiple outpouchings, abnormal submucosal glands, esophagus, esophageal stricture, benign disorder, esophageal wall, specific therapy, glands, esophageal pseudodiverticulosis, therapy, stricture, radiologic findings"
"We investigated secular trends in cancer mortality among first-generation Japanese-Brazilians in the state of São Paulo between 1979 and 2001. Results were compared with those for Japanese living in Japan and Brazilians living in the state of São Paulo. We used mortality data for three periods, 1979-1981, 1989-1991, and 1999-2001, and population data from Brazilian censuses in 1980, 1991, and 2000 for Japanese-Brazilians. Available mortality and population data for Japanese living in Japan and Brazilians living in the state of São Paulo corresponding to those for Japanese-Brazilians were obtained. Age-standardized mortality rates for Japanese-Brazilians and standardized mortality ratios based on mortality of Japanese living in Japan in 1980 for the three different periods and populations were calculated. We observed a decreasing trend for stomach cancer and increasing trends for colon, breast and prostate cancer over the 20 years in all three populations. Standardized mortality ratios for stomach cancer in Japanese-Brazilians declined to approximately those of Japanese living in Japan. Although standardized mortality ratios from colon, breast and prostate cancer in Japanese-Brazilians increased over the last 20 years, those for colon cancer were similar to the Japanese living in Japan whereas those for breast and prostate cancer (208 and 423 in 2000, respectively) appeared to be intermediate between those for Japanese living in Japan (152 and 208 in 2000, respectively) and Brazilians living in the state of São Paulo (281 and 536 in 2000, respectively). Standardized mortality ratios for liver and lung cancer increased in Japanese living in Japan over the last 20 years but no increasing trend was observed for Japanese-Brazilians, except for liver cancer in men, and standardized mortality ratios in Japanese-Brazilians seemed to be similar to the Brazilians living in the state of São Paulo. Secular trends in mortality confirm the relative importance of environment in the development of cancer.","prostate cancer, first-generation japanese-brazilians, japanese-brazilians, japan, cancer, increasing trend, cancer mortality, trends, paulo, brazilians, colon cancer, mortality, state, são paulo, standardized mortality ratios, mortality data"
"This paper investigates Wireless Sensor Networks (WSNs) for achieving fault tolerant localization of an event using only binary information from the sensor nodes. In this context, faults occur due to various reasons and are manifested when a node outputs a wrong decision. The main contribution of this paper is to propose the Fault Tolerant Maximum Likelihood (FTML) estimator. FTML is compared against the Centroid (CE) and the classical maximum likelihood (ML) estimators and is shown to be significantly more fault tolerant. Moreover, this paper compares FTML against the SNAP (Subtract on Negative Add on Positive) algorithm and shows that in the presence of faults the two can achieve similar performance; FTML is slightly more accurate while SNAP is computationally less demanding and requires fewer parameters.","fewer parameters, classical maximum likelihood, event, fault tolerant, faults, sensor, wrong decision, binary information, wireless sensor networks, wsns, node outputs, tolerant, tolerant localization, ftml"
"BACKGROUND
Lumbar disc prolapse is one of the common causes of low back pain seen in the working population. There are contradictorty reports regarding the clinical significance of various magnetic resonance imaging (MRI) findings observed in these patients. The study was conducted to correlate the abnormalities observed on MRI and clinical features of lumbar disc prolapse.


MATERIALS AND METHODS
119 clinically diagnosed patients with lumbar disc prolapse were included in the study. Clinical evaluation included pain distribution, neurological symptoms and signs. MR evaluation included grades of disc degeneration, type of herniation, neural foramen compromise, nerve root compression, and miscellaneous findings. These MRI findings were tested for inter- and intraobserver variability. The MRI findings were then correlated with clinical symptoms and the level of disc prolapse as well as neurological signs and symptoms. Statistical analysis included the Kappa coefficient, Odd's ratio, and logistic regression analysis.


RESULTS
There were no significant inter- or intraobserver variations for most of MRI findings (Kappa value more than 0.5) except for type of disc herniation which showed a interobserver variation of 0.46 (Kappa value). The clinical level of pain distribution correlated well with the MRI level (Kappa 0.8), but not all disc bulges produced symptoms. Central bulges and disc protrusions with thecal sac compression were mostly asymptomatic, while centrolateral protrusions and extrusions with neural foramen compromise correlated well with the dermatomal distribution of pain. Root compression observed in MRI did not produce neurological symptoms or deficits in all patients but when deficits were present, they correlated well with the presence of root compression in MRI. Multiple level disc herniations with foramen compromise were strongly associated with the presence of neurological signs.


CONCLUSIONS
The presence of centrolateral protrusion or extrusion with gross foramen compromise correlates with clinical signs and symptoms very well, while central bulges and disc protrusions correlate poorly with clinical signs and symptoms. The presence of neural foramen compromise is more important in determining the clinical signs and symptoms while type of disc herniation (bulge, protrusion, or extrusion) correlates poorly with clinical signs and symptoms.","multiple level disc herniations, kappa coefficient, mri level, mri findings, lumbar disc prolapse, signs, pain distribution, neurological symptoms, deficits, clinical significance, symptoms, neurological signs, clinical symptoms, mri, clinical signs, produced symptoms"
"The morphometric traits were determined on the sample of 459 marketable size common carp from the four Croatian fish farms. There traits were analyzed by the classical methods in order to determine the influence of population, scaliness, age and sex on the dressing percentage. The obtained results show the existence of different phenotypes of common carps at Croatian farms, primarily, morphometric differences. However, the sygnificant diferences of dressing percentage among the populations were not registered (p>0.05). The significant difference between the dressing percentages of scaled and mirror carps was not detected (p>0.05), what leads to the conclusion that the scaliness does not influence dressing percentage significantly. The age and sex also, dit not show significant influence on dressing percentage. As the carps were sampled in winter the differences in dressing percentage caused by the different maturation of males and females were excluded.","populations, percentage, different maturation, common carps, dressing percentage, scaliness, significant influence, croatian fish farms, mirror carps, p>0.05, croatian farms, significant difference, influence, carps, different phenotypes, farms"
"DURING the War the introduction of governmental controls has led to many matters being dealt with by an order fixing some quantity, price or other variable where a laissez-faire system would have allowed them to find their own levels. As examples we have rates of foreign exchange, wages and prices. Not only has this fixing occurred in many instances during the War, but a further extension of control or planning in peace will probably lead to even more variables being fixed in this way.","own levels, more variables, foreign exchange, many instances, many matters, prices, variables, governmental controls, other variable"
"Realistic versus stylized depictions of virtual humans in simulated inter-personal situations and their ability to elicit emotional responses in users has been an open question for artists and researchers alike. We empirically evaluated the effects of near visually realistic vs. non-realistic stylized appearance of virtual humans on the emotional response of participants in a medical virtual reality system that was designed to educate users in recognizing the signs and symptoms of patient deterioration. In a between-subjects experiment protocol, participants interacted with one of three different appearances of a virtual patient, namely visually realistic, cartoon-shaded and charcoal-sketch like conditions in a mixed reality simulation. Emotional impact were measured via a combination of quantitative objective measures were gathered using skin Electrodermal Activity (EDA) sensors, and quantitative subjective measures such as the Differential Emotion Survey (DES IV), Positive and Negative Affect Schedule (PANAS), and Social Presence questionnaire. The emotional states of the participants were analyzed across four distinct time steps during which the medical condition of the virtual patient deteriorated (an emotionally stressful interaction), and were contrasted to a baseline affective state. Objective EDA results showed that in all three conditions, male participants exhibited greater levels of arousal as compared to female participants. We found that negative affect levels were significantly lower in the visually realistic condition, as compared to the stylized appearance conditions. Furthermore, in emotional dimensions of interest-excitement, surprise, anger, fear and guilt participants in all conditions responded similarly. However, in social emotional constructs of shyness, presence, perceived personality, and enjoyment-joy, we found that participants responded differently in the visually realistic condition as compared to the cartoon and sketch conditions. Our study suggests that virtual human appearance can affect not only critical emotional reactions in affective inter-oersonal trainina scenarios. but also users' oerceotions of oersonalitv and social characteristic of the virtual interlocutors.","objective eda results, distinct time steps, participants, emotional dimensions, virtual human appearance, inter-oersonal trainina scenarios, quantitative subjective measures, des iv, patient deterioration, virtual interlocutors, female participants, negative affect levels, skin electrodermal activity, conditions, users, male participants"
"BACKGROUND
The liver is the most common target organ in the metastasis of colorectal cancer (CRC). Synchronous liver metastases may confer a poorer prognosis than metachronous metastases, and genetic alterations and an inflammatory response have also been associated with a poor prognosis in cases of a liver metastasis arising from CRC. However, few studies have examined the relationship between KRAS mutations and inflammatory status in CRC, especially with respect to liver metastases.


METHODS
The effect of the activated mitogen-activated protein kinase pathway and another protein involved in inflammation, C-reactive protein, in liver metastases were examined. We aimed to determine the impact of the CRP-specific single nucleotide polymorphism (SNP) rs7553007 in liver metastasis on the CRC-specific survival (CSS) of patients after colorectal liver metastasectomy.


RESULTS
We found no significant differences in genotype distributions and allele frequencies at the CRP SNP rs7553007 between CRC patients with liver metastasis and the control group. CSS rates were low in the subgroup of patients with synchronous metastasis with the A-allele (A/A and A/G) at rs7553007 or mutated KRAS/BRAF in liver metastatic specimens. Furthermore, the CRP SNP rs7553007 (hazard ratio [HR] = 1.101; 95% confidence interval [CI] = 1.011-1.200; P = 0.027) and KRAS/BRAF mutations (HR = 2.377; 95% CI = 1.293-4.368; P = 0.005) remained predictive for the CSS of CRC patients with synchronous liver metastasis in multivariate analysis.


CONCLUSIONS
Both the CRP SNP rs7553007 and KRAS/BRAF mutations were independent prognostic factors for CRC patients with synchronous liver metastasis.","protein, synchronous liver metastasis, liver metastasis, synchronous metastasis, liver, braf mutations, analysis, crp snp, metastasis, crc patients, patients, colorectal liver metastasectomy, crc, kras mutations, metachronous metastases, c-reactive protein"
"Phylogenetic microarrays present an attractive strategy to high-throughput interrogation of complex microbial communities. In this work, we present several approaches to optimize the analysis of intestinal microbiota with the recently developed Microbiota Array. First, we determined how 16S rDNA-specific PCR amplification influenced bacterial detection and the consistency of measured abundance values. Bacterial detection improved with an increase in the number of PCR amplification cycles, but 25 cycles were sufficient to achieve the maximum possible detection. A PCR-caused deviation in the measured abundance values was also observed. We also developed two mathematical algorithms that aimed to account for a predicted cross-hybridization of 16S rDNA fragments among different species, and to adjust the measured hybridization signal based on the number of 16S rRNA gene copies per species genome. The 16S rRNA gene copy adjustment indicated that the presence of members of the class Clostridia might be overestimated in some 16S rDNA-based studies. Finally, we show that the examination of total community RNA with phylogenetic microarray can provide estimates of the relative metabolic activity of individual community members. Complementary profiling of genomic DNA and total RNA isolated from the same sample presents an opportunity to assess population structure and activity in the same microbial community.","different species, measured abundance values, bacterial detection, intestinal microbiota, maximum possible detection, phylogenetic microarray, members, individual community members, same microbial community, complex microbial communities, class clostridia, relative metabolic activity, rdna-specific pcr amplification, total community rna, detection, community"
"Part-time Medicine IT WAS 8 AM ON TUESDAY MORNING AND I LISTENED TO MY telephone messages in my office. “This is Sharon S.,” the first message played, “calling on Thursday. I think I’m having a urinary infection. Please call me back.” “It’s Sharon S.,” the next message played, “calling on Friday. I’m having a lot of burning when I urinate and wonder if I should be on antibiotics.” With a sinking feeling in my stomach, I quickly dialed Sharon’s number and unfortunately got an answering machine. I apologized for not getting her message sooner, explaining that the clinic was closed for a federal holiday on Thursday, and that Fridays and Mondays were the days that I didn’t work at the clinic. All of these were true statements, but as I recounted them before Sharon’s answering machine they sounded pathetic. I didn’t hear back from Sharon and felt worse. Although I later learned that she’d obtained appropriate treatment from her university health services, I still felt terrible. If Sharon had been less educated or didn’t speak English or was homebound, an untreated urinary tract infection could have progressed to pyelonephritis, even sepsis. Even though my voice mail greeting clearly states which days I’m not in the clinic and that I won’t be getting messages on those days and provides the phone number required for immediate attention, it is not uncommon to find messages with real urgency when I return to the office several days later. It is at these times that being a part-time physician feels as if I’m somehow shirking the Hippocratic Oath. I’m not there for my patients all the time like a physician should. During my “on” days, I work furiously like my colleagues, seeing all of my patients, squeezing in anyone who calls or shows up, supervising residents and students, following up ontest results, returningphonecalls, fillingoutmedical forms, writing letters for disability, housing, school, and work. But on my “off” days, I am officially off. I don’t go to the hospital, don’t check my voice mail, though I do carry my beeper for emergencies. If my patients need medical attention on those days, they have to be seen in our walk-in clinic, or go to the emergency department if it is after hours or on weekends. When this happens, I feel terribly guilty about being a part-timer, but I sometimes wonder whether this guilt is misplaced. Is there anything inherently wrong with working in medicine part-time? Between 10% and 20% of physicians define themselves as “part-time,” and pediatrics leads the pack for specialties conducive to part-time work. Patient trust and satisfaction with part-time physicians appear to be similar to that with full-time physicians. Part-time physicians report less burnout, higher satisfaction, and a greater sense of control than full-time physicians. The small studies that have been done on clinical outcomes suggest that part-time physicians achieve outcomes comparable to those of their full-time counterparts, and might even be more efficient. But, not surprisingly, part-time academic physicians fall behind their full-time colleagues in terms of promotion and tenure. Academic physicians view part-time faculty members as less committed, though they concede that parttimers ought to be considered for promotion and even given extra time, if needed, to achieve tenure. Conventional wisdom has it that most physicians choose part-time work so that they can balance work with family, and that these physicians are women. The statistics largely support this. But should part-time medicine be solely viewed as the hodgepodge mess that is left over when women cut their hours to have children? Perhaps part-time medicine is its own entity. Could the part-time physician be seen as another type of clinician—laboring alongside hospitalists, intensivists, pulmonologists, and nephrologists? Unlike most of my part-time colleagues, I did not become a part-time physician as a result of children. My career “choice” came about with more bureaucratic banality—a New York City budget crisis that caused a hiring freeze just as I was poised to begin my academic career. When the freeze unfroze, there was only a parttime spot available. Working part time had never once crossed my mind when I had envisioned my career, but there it was: a three-day-a-week offer, nothing else. I was single, unemployed, fresh out of residency, with 14 years worth of student loans coming due. I did the only pragmatic thing and snapped it up, hoping that maybe a fulltime position would open up later. What happened next was entirely unplanned and unexpected. With two days available each week, I suddenly had time to devote to my other interests in life—ones that had been decisively extirpated by medical training. I began reading literature—not the medical kind—and was finally able to pursue that nagging desire to write down some of the memorable experiences in medical school and residency. I didn’t plan to become a writer, but having those two days away from medicine allowed me to take writing classes and invest serious energy into this effort. Some time later, the much-coveted full-time position became available. Due to the inequities of how part-timers are","medical attention, office, walk-in clinic, messages, part-time, medical school, part-time academic physicians, days, part-time work, higher satisfaction, days available, urinary infection, extra time, most physicians, work, freeze"
"The subfractions Fa, Fb, and Fc of crude substance P (SP) preparations made from human and bovine brains were analysed for SP and the COOH-terminal octapeptide of cholecystokinin (CCK-8). The methods were specific radioimmunoassays (RIAs) for SP and CCK-8, and bioassays on isolated organs of the guinea pig: the ileum, the gallbladder and the field-stimulated vas deferens. 1. In bioassays of synthetic peptides the vas deferens reacted specifically to SP and the gallbladder to CCK-8. 2. RIAs and bioassays revealed unequivocally that most of SP-like activity was present in Fb, while Fc contained mainly CCK-8-like activity. Varying results were obtained with Fa. 3. The pharmacologically active principle of Fc is CCK-8 or a closely related peptide. Earlier results concerning the pharmacological and neurochemical properties of Fc must be ascribed to this peptide. In bioassays of synthetic peptides the vas deferens reacted specifically to SP and the gallbladder to CCK-8. RIAs and bioassays revealed unequivocally that most of SP-like activity was present in Fb, while Fc contained mainly CCK-8-like activity. Varying results were obtained with Fa. The pharmacologically active principle of Fc is CCK-8 or a closely related peptide. Earlier results concerning the pharmacological and neurochemical properties of Fc must be ascribed to this peptide.","cck-8, subfractions fa, bioassays, synthetic peptides, vas deferens, fc, deferens, fb, peptide, related peptide, guinea pig, sp-like activity, bovine brains, field-stimulated vas deferens, sp, gallbladder"
"Blood plasma levels of ochratoxin A, a toxic secondary metabolite of several fungal species belonging to the genera Aspergillus and Penicillium, were determined in 168 blood donors from the population of Valencia (Spain) using LC-FLD. In conjunction with blood collection, detailed information on diet was obtained by using a questionnaire that encompassed a wide range of products potentially contaminated with the toxin. The investigation revealed a detection frequency of 100%. Mean level was 1.09 microg OTA/l of plasma and concentrations ranged between 0.15 and 5.71 microg OTA/l of plasma. Men's levels were slightly higher than levels observed in women. Results were analysed by Spearman rank correlation test and Gamma correlation statistic. There was no strong correlation between individual consumption of 26 food groups, described as possibly contaminated with OTA and plasma level of OTA. Multiple regression and factorial regression models were obtained explaining 14.9 and 64.4%, respectively, but they could not explain overall variability. Daily dietary intake of ochratoxin A was calculated on the basis of plasma toxin levels using the Breitholtz and Klassen formulae; for the overall population, mean values were 1.47 +/- 1.25 and 2.16 +/- 1.88 ng/kg bw/day, respectively. All results have been compared with other Spanish data.","plasma toxin levels, blood plasma levels, other spanish data, wide range, spearman rank correlation test, ota, individual consumption, plasma, levels, food groups, plasma level, genera aspergillus, microg ota, klassen formulae, ochratoxin a, blood collection"
"Evidence-based medicine (EBM) and patient-centered medicine (PCM) are two movements that have emerged with great force in health systems in recent years. EBM has a population approach, and its primary objective is the generalization and improvement of health outcomes in the average patient. PCM has a personalized approach, focuses on individualization and improving health outcomes in specific patients. While EBM has its conceptual anchor in research, PCM has it in medical care. Despite EBM and PCM being perceived as conflicting movements, the profound changes that are currently taking place in health systems can facilitate the confluence of clinical research and medical care. This article constitutes a reflection on how research methods should approach the individual patient and medical practice should approach future patients. EBM and PCM, like research and medical practice, are two sides of the same coin, which should complement and aid each other. It is difficult to see how one of them can reach its full potential without the other as a continual reference, because PCM should not be practiced without being based on the best available evidence and it is impossible to imagine an EBM whose ultimate goal is disconnected from the individual patient.","health, pcm, clinical research, specific patients, ebm, recent years, individual patient, average patient, health outcomes, conflicting movements, medical care, best available evidence, future patients, patient, medical practice, health systems"
"Studies on hyperactivity have shown the importance of distinguishing hyperactive children according to the pervasiveness of their symptoms. To verify the meaningfulness of this distinction in Attention Deficit Disorders, an epidemiological study was undertaken. Sixteen pervasive-ADD, nine situational-ADD and 28 non-ADD children selected from a general population were compared using different measures. The results show that pervasive-ADD differ from non-ADD children on verbal IQ and reading difficulties and support the distinction of ADD according to the pervasiveness of the symptoms.","measures, disorders, pervasive-add differ, attention deficit disorders, hyperactive children, difficulties, general population, children, symptoms, verbal iq, pervasiveness, different measures, epidemiological study, distinction"
"Quercetin, one of the most abundant dietary flavonoids, is widely present in nature. In this study, the effects of quercetin ingestion on Helicoverpa armigera larvae growth and its sensitivity to lambda-cyhalothrin were assessed. The median lethal concentration (LC50) value of lambda-cyhalothrin to quercetin-fed H. armigera larvae was 2.39-fold higher than the control, suggesting a reduced sensitivity to lambda-cyhalothrin. Piperonyl butoxide (PBO) treatment effectively synergized lambda-cyhalothrin efficacy in quercetin-fed H. armigera larvae with a synergistic ratio of 2.36. Moreover, the growth of H. armigera larvae was inhibited by the quercetin uptake. To understand the reduced sensitivity to lambda-cyhalothrin, we measured the enzymatic activity of cytochrome P450 monooxygenases (P450s), as well as transcriptional responses of three P450s genes in quercetin-fed H. armigera larvae. We found that cytochrome P450 monooxygenases involved in the observed lambda-cyhalothrin tolerance in quercetin-fed H. armigera. After fed on quercetin for 48 h, 7-ethoxycoumarin-O-deethylase (ECOD) activity was significantly elevated in quercetin-fed H. armigera larvae; meanwhile, the expression level of CYP6B6, CYP6B8 and CYP321A1 was up-regulated. In conclusion, P450s played a crucial role in the metabolic adaptation of H. armigera larvae to its host plant’s secondary metabolites as well as synthetic insecticides. The reduced lambda-cyhalothrin sensitivity in quercetin-fed H. armigera larvae suggested that previous exposure to the host plant-derived quercetin is likely to compromise the efficacy of pyrethroid insecticides.","larvae, pyrethroid insecticides, host plant, lambda-cyhalothrin, quercetin, h. armigera larvae, quercetin ingestion, helicoverpa armigera larvae growth, lambda-cyhalothrin tolerance, lambda-cyhalothrin efficacy, quercetin-fed, metabolic adaptation, quercetin-fed h. armigera larvae, previous exposure, armigera, quercetin-fed h. armigera"
"AIM
To evaluate the anti-apoptotic effect of banhasasim-tang (BHSST) on chronic acid reflux esophagitis (CARE) using a rat model.


METHODS
A surgically-induced CARE model was established in Sprague-Dawley rats. The modeled rats were divided into a treatment group or untreated group, and given BHSST (1 g/kg body weight per day) or water, respectively, for 15 consecutive days (n = 7 each group). Changes in expression of proteins related to nicotinamide adenine dinucleotide phosphate (NADPH) oxidase and apoptosis were assessed by western blotting. Changes in esophageal pathology were analyzed by gross and histological examinations.


RESULTS
The CARE exposure modeled rats showed increased levels of the NADPH oxidase subunit, NOX4 and p47phox in the esophagus. The BHSST treatment completely resolved these CARE-related increases. The CARE rats also showed markers of cytokine stress, including elevated levels of TNF-α and reactive oxygen species as well as of the consequent increase in JNK activation, and subsequent decrease in pro-survival gene expression, such as of Bcl-2. BHSST treatment resolved the CARE-related changes. BHSST also exerted an anti-apoptotic effect, as evidenced by altered expression of the apoptosis-related genes for bax, cytochrome c, and caspase 3. Finally, the BHSST treatment markedly ameliorated the CARE-related esophageal mucosal ulcerations.


CONCLUSION
In the rat model of CARE, BHSST can suppress development of esophageal mucosal ulceration via regulation of reactive oxygen species-dependent apoptosis.","elevated levels, untreated group, care-related esophageal mucosal ulcerations, western blotting, altered expression, care exposure modeled rats, nadph oxidase subunit, nicotinamide adenine dinucleotide phosphate, reactive oxygen species, histological examinations, apoptosis-related genes, consecutive days, bhsst, nadph, treatment group, apoptosis"
"Therapeutic hypothermia is a robust therapeutic tool in experimental stroke models but its clinical applications are limited. Furthermore, optimal conditions for therapeutic hypothermia, such as, temperature and the initiation and duration of cooling must be individualized. Here, we evaluated the therapeutic effects of delayed local hypothermia, administered for 44 hr after 4 hr of reperfusion in a rat model of transient middle cerebral artery occlusion (tMCAo), using a cooling device that allowed controlled local hypothermia (31 °C) in brain. Histological data revealed that local hypothermia significantly reduced infarct volumes and glial hypertrophic activation. Brain water contents, IgG leakage, and Evans Blue extravasation were notably reduced by local hypothermia. Furthermore, local hypothermia had strong vasculoprotective effects, as determined by immunohistochemistry and Western blot analyses for endothelial barrier antigen (EBA), laminin, aquaporin-4, and tight junction proteins in brain. Our data indicate that delayed/prolonged local hypothermia confers neurovascular protection, reduces brain edema, and inhibits inflammatory glial activation, and suggest that hypothermic conservation of vascular structures and functions account for the therapeutic effects of local hypothermia observed in this model of experimental stroke.","hypothermia, experimental stroke models, local hypothermia, brain edema, igg leakage, glial hypertrophic activation, functions, therapeutic hypothermia, vascular structures, experimental stroke, model, hypothermic conservation, rat model, therapeutic effects, prolonged local hypothermia confers, controlled local hypothermia"
"BACKGROUND
Poor self-rated health has been associated with poorer objective health outcomes across a range of conditions including stroke. Identification of factors associated with poor self-rated health in stroke survivors has received little attention compared to that in other older individuals. This study identifies determinants of self-rated health in older individuals with or without a history of stroke participating in the population-representative MRC Cognitive Function and Aging Study (MRC CFAS).


METHODS
The MRC CFAS is a multicentred longitudinal survey of a population representative sample of people in their 65th year and older at baseline. Baseline interview included questions about functional disability, psychiatric history, independent living status, social interactions, and cognitive function. Multiple logistic regression was used to determine associations between demographic, physical, cognitive, psychological and social factors with poor self-rated health among those with and without stroke.


RESULTS
After excluding those with impaired cognitive function, 776 individuals out of 11,957 reported a stroke. Factors associated with self-rated health were similar between those with or without a stroke in older individuals. Poorer self-rated health in those who had suffered a stroke was associated predominantly with the presence of comorbidity with diabetes (OR 3.5; 95% CI 1.5-8.1) and not ""getting out and about"" (OR 2.6; 95% CI 1.7-4.1) even after adjustment for disability levels and for depression. In those without a stroke the most important determinants were disability (OR 3.9; 95% CI 3.2-4.8) and not ""getting out and about"" (OR 2.9; 95% CI 2.5-3.3). The presence of disability was less strongly associated with poor self-rated health in those with a history of stroke than those without due to a substantially higher reporting of poor self-rated health in the non-disabled stroke group than the non-disabled stroke-free group, while those with disabilities reported poor self-rated health irrespective of stroke status.


CONCLUSIONS
Self-rated health is determined by a range of psychological and social factors in addition to disability in older patients with stroke. Addressing social integration and mobility out of the home is an important element of rehabilitation for older people with stroke as well as those without.","health, social factors, aging study, poorer self-rated health, stroke survivors, other older individuals, stroke, poor self-rated health, population-representative mrc cognitive function, self-rated health, determine, cognitive function, older people, self-rated, disabilities, cognitive"
"Prospective characteristics of the next generation of radar is investigated in this paper, combined with future requirement. The demands of the next generation radar for the wide band, high speed, parallelism and high integration are precisely the four prominent respects of photonics. The technological path of future radar could hopefully be interdisciplinary fusion to solve bottleneck problems in the microwave field by means of optical methods, ideas and technical features, namely constructing microwave photonics technology based radar system. One system architecture of multifunctional radar based on the technology of microwave photonics is proposed. Meanwhile, representative techniques such as photonic frequency conversion and photonic beamforming are presented. Some stages of experiment and test results are reported.","based radar system, radar, microwave photonics, future requirement, technical features, multifunctional radar, microwave field, bottleneck problems, microwave, high speed, microwave photonics technology, high integration, interdisciplinary fusion, photonics, future radar, photonic beamforming"
"A minor alkaloid of Colchicum spec iosum Stev. (showy autumn crocus) speciogine [1] is N-o -hyd roxy benzylco lchamine [2]. Continuing a study of the p r o p e r t i e s of specios ine , we turned our at tention to the fact that i ts m a s s spec t rum (MKh-1303 ins t rument , t e m p e r a t u r e 200°C and ionizing vol tage 35 V) in the region of high m a s s number s p rac t i ca l ly coincides with the s p e c t r u m of colchamine (methyldeacetylcolchicine) [3]. In addition to this, the absence under the conditions given of the peak of a mo lecu la r ion with m / e 477 co r responding to spec ios ine apparent ly showed the decomposi t ion of this alkaloid under the conditions of m a s s s p e c t r o m e t r y and its convers ion into colchamine. F u r t h e r m o r e , in ag reemen t with the r e su l t s of o ther authors [2], in the m a s s s p e c t r u m t h e r e is a t r ip le t of ions with m / e 106-108 showing the appea rance of the o-hydroxybenzyl r e s idue of the spec ios ine molecule .","t u, o-hydroxybenzyl r e, high m, p e r, t, l t, convers ion, h e r e, ine molecule, r ion, u m, e, m, p rac t, s, s s spec t rum"
"The strong coupling constant, αs, is one of the fundamental parameters of QCD. However, its value is not predicted by the theory and has to be determined experimentally. The success of perturbative QCD (pQCD) lies on precise and consistent determinations of the coupling from many diverse phenomena such as τ decays, event shapes, Z decays, etc. At ZEUS, many precise determinations of αs have been performed from a variety of measurements based on jet observables and on structure functions. The procedure to determine αs from jet observables used by ZEUS is based on the αs dependence of the pQCD calculations and takes into account the correlation with the proton parton distribution functions (PDFs). The method consists of performing next-to-leadingorder (NLO) calculations using sets of PDFs for which different values of αs(MZ) were assumed in the fits. A parameterisation of the αs(MZ) dependence of the theory for the given observable is obtained. Finally, a value for αs(MZ) is extracted from the measured cross section using such parameterisation. This procedure handles correctly the complete αsdependence of the NLO calculations (the explicit dependence in the partonic cross section and the implicit dependence from the PDFs) in the fit, while preserving the correlation between αs and the PDFs.","z decays, value, shapes, decays, such parameterisation, αs(mz, implicit dependence, different values, αs dependence, jet observables, pqcd calculations, structure functions, pdfs, τ decays, nlo calculations, event shapes"
"This paper mainly focuses on the horizontal comparisons pertinent to the impacts on power flow when three different types of wind power generators, Squirrel Cage Induction Generator (SCIG), Doubly Fed Induction Generator (DFIG) and Permanent Magnet Synchronous Generator (PMSG), are integrated into the existing power grid respectively. In order to discuss the influence, the probabilistic load flow (PLF) considering wind power uncertainty is analyzed in this paper. Whilst to solve the PLF problem with higher precision and less computing time, the traditional Monte Carlo method is improved by using the quasi random sequence instead of simple samples, which is called Quasi Monte Carlo method. The simulations are based on IEEE 14-bus test system and some interesting and useful information can be obtained.","less computing time, wind power generators, useful information, method, wind power uncertainty, sequence, simple samples, random sequence, test system, traditional monte carlo method, power flow, permanent magnet synchronous generator, horizontal comparisons pertinent, plf problem, generator, squirrel cage induction generator"
"Respinomycins A1, A2, B, C and D were revealed to be novel anthracycline antibiotics with molecular formulae of C51H72N2O20, C43H58N2O15, C35H43NO14, C36H45NO14 and C51H70N2O22, respectively. Their structures were determined by means of 1H-1H COSY, 13C-1H COSY and HMBC spectra. The structure of the aglycone of respinomycins was unambiguously determined by LSPD experiments and NOESY. The common skeleton of respinomycins is a new type and is distinguished from that of the nogalamycin group.","new type, c43h58n2o15, c35h43no14, novel anthracycline antibiotics, hmbc spectra, c51h72n2o20, spectra, lspd experiments, formulae, c36h45no14, respinomycins, cosy, c51h70n2o22, antibiotics, molecular formulae"
